DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey33 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2049)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -24.791             -25.416             0.625         1.281
RESSURF           -9.517              -9.344            -0.173         2.038
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.330               0.008            -0.338         0.379
CLDHGH            25.037              24.786             0.251         0.921
CLDLOW            30.304              30.657            -0.353         0.927
CLDMED            15.203              15.094             0.109         0.628
CLDTOT            46.252              46.288            -0.035         1.052
EKE_850           33.395              33.442            -0.047         0.934
EP            -8.573e-03          -2.160e-02         1.303e-02         0.128
FLNS              64.885              64.699             0.186         1.135
FLNSC             88.187              88.019             0.168         0.895
FLNT             230.776             231.489            -0.713         1.371
FLNTC            254.566             255.128            -0.562         0.925
FSDS             166.263             165.962             0.301         1.695
FSDSC            219.097             218.841             0.256         0.469
FSNS             137.435             137.292             0.142         1.506
FSNSC            183.000             182.963             0.037         1.286
FSNSC_ICE         47.663              48.202            -0.539         1.842
FSNSC_LAND       165.167             164.992             0.176         1.060
FSNT             205.986             206.073            -0.087         1.331
FSNTC            248.012             248.204            -0.192         1.238
ICEAREA           11.575              11.342             0.233         0.026
LHFLX             60.283              60.197             0.086         1.722
LWCF              23.790              23.640             0.150         0.769
PRECT              2.063               2.076            -0.013         0.133
PRECT_LAND         1.677               1.681            -0.004         0.121
PRECT_OCEAN        2.648               2.671            -0.024         0.153
PREH2O            18.749              18.967            -0.217         0.444
PREH2O_OCEAN      24.848              25.164            -0.316         0.536
PSI_200           -6.606              -6.762             0.156         0.180
PS               976.646             977.032            -0.386         0.567
PSL             1015.562            1015.945            -0.383         0.569
QFLX               2.055               2.054             0.001         0.055
SHFLX             21.784              21.741             0.043         1.177
SNOWHLND           4.334               4.274             0.060         2.002
SST               18.521              18.667            -0.146         0.251
STRESS_MAG         0.050               0.049             0.000         0.003
SWCF             -42.026             -42.131             0.105         1.335
T_850            278.960             279.177            -0.217         0.332
TGCLDLWP         125.403             126.637            -1.234         5.262
TGCLDIWP          19.292              19.168             0.124         0.657
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           283.365             283.557            -0.193         0.378
TS               283.910             284.100            -0.190         0.394
TS_LAND          281.091             281.256            -0.165         0.402
U_200             18.135              18.517            -0.382         0.863
VT_850             0.291               0.280             0.012         0.378
Z3_500            56.509              56.593            -0.084         0.097
